id,season,matches_played,goals,assists,yellow_cards,red_cards,clean_sheets,win_rate,possession,passing_accuracy,shots_per_game,rating
"2046059_1054_64021","CAF Champions League 24/25",,0,0,0,0,,,0,79.166666666667,,6.9
"2046059_937_78750","Botola Pro 25/26",,1,0,0,0,,,,88.18,,7.1666666666667
"2127597_937_78750","Botola Pro 25/26",,0,0,1,0,,,,81.72,,6.84
"2127597_937_65433","Botola Pro 24/25",,0,0,0,0,,,,,,
"359280_1054_80447","CAF Champions League 25/26",,0,0,2,0,,,0,51.282051282051,,8.2
"359280_1054_44968","CAF Champions League 22/23",,0,0,1,0,,,0,56.349206349206,,7.28
"359280_1054_38336","CAF Champions League 21/22",,0,0,3,0,,,0,45.454545454545,,6.9454545454545
"1401592_937_65433","Botola Pro 24/25",,0,0,1,0,,,,84.72,,7.0166666666667
"1401592_937_54108","Botola Pro 23/24",,0,0,0,0,,,,84,,7.6
"1401592_1054_64021","CAF Champions League 24/25",,0,0,1,0,,,0,72.222222222222,,7.5
"1168800_937_78750","Botola Pro 25/26",,6,0,1,0,,,,78.46,,7.175
"1168800_9_61412","Challenger Pro League 24/25",,1,0,0,0,,,5,78.095238095238,,6.77
"1168800_9_52384","Challenger Pro League 23/24",,6,0,6,0,,,13,74.223602484472,,6.8863636363636
"1500985_937_65433","Botola Pro 24/25",,1,0,0,0,,,,61.9,,6.95
"1500985_937_54108","Botola Pro 23/24",,0,0,0,0,,,,50,,6.4
"2121452_937_65433","Botola Pro 24/25",,0,0,0,0,,,,0,,6.5
"961690_937_78750","Botola Pro 25/26",,2,0,0,0,,,,76.92,,6.9
"961690_709_64075","Misli Premier League 24/25",,4,2,3,1,,,,79.04,,6.996875
"961690_709_53263","Misli Premier League 23/24",,2,1,0,0,,,,78.95,,6.8928571428571
"544156_937_78750","Botola Pro 25/26",,0,1,1,0,,,,87.63,,6.7375
"544156_37_61666","VriendenLoterij Eredivisie 24/25",,0,1,1,0,,,5,88.261351052049,,6.7230769230769
"544156_37_52554","VriendenLoterij Eredivisie 23/24",,4,2,2,0,,,10,90.355329949239,,6.8541666666667
"944009_937_78750","Botola Pro 25/26",,0,0,1,0,,,,86.96,,6.64
"944009_937_65433","Botola Pro 24/25",,5,6,4,0,,,,74.54,,7.0041666666667
"944009_13_56249","World Cup Qual. CAF  2025",,2,0,1,0,,,,,,
"374560_937_78750","Botola Pro 25/26",,0,0,1,1,,,,91.45,,6.5
"374560_238_63670","Liga Portugal Betclic 24/25",,0,0,3,1,,,2,88.971684053651,,6.5916666666667
"374560_238_52769","Liga Portugal Betclic 23/24",,1,0,7,0,,,10,88.323603002502,,6.7655172413793
"1545316_937_78750","Botola Pro 25/26",,0,0,3,0,,,,84.01,,6.7125
"1545316_937_54108","Botola Pro 23/24",,1,1,3,1,,,,82.54,,6.7724137931034
"1545316_971_64629","UAE Pro League 24/25",,0,0,2,0,,,3,80.072463768116,,6.6947368421053
"1528418_937_78750","Botola Pro 25/26",,0,0,1,0,,,,68.75,,6.65
"1528418_937_65433","Botola Pro 24/25",,1,1,1,0,,,,67.33,,6.6105263157895
"1528418_937_54108","Botola Pro 23/24",,1,0,1,0,,,,70.42,,6.61875
"919329_937_78750","Botola Pro 25/26",,1,1,1,0,,,,82.63,,6.9
"919329_937_65433","Botola Pro 24/25",,1,0,6,0,,,,85.47,,7.0296296296296
"919329_937_54108","Botola Pro 23/24",,0,2,7,0,,,,89.02,,7.3111111111111
"1140935_937_78750","Botola Pro 25/26",,0,0,1,0,,,,88,,6.625
"1140935_937_65433","Botola Pro 24/25",,2,0,5,0,,,,86.81,,6.7166666666667
"1140935_937_54108","Botola Pro 23/24",,2,2,2,0,,,,76.99,,6.75
"1140855_937_78750","Botola Pro 25/26",,0,0,0,0,,,,86.59,,6.6375
"1140855_937_65433","Botola Pro 24/25",,2,2,3,1,,,,81.36,,6.7863636363636
